feature,coef
y2_t6 y4_t6,-0.17471162573915988
y2_t6 y4_t7,-0.17471162573915988
y2_t7 y4_t7,-0.17471162573915988
y4_t6 y2_t7,-0.17471162573915988
y3_t0 y3_t4,-0.17011405202260838
y3_t0 y3_t5,-0.17011405202260838
y3_t1 y3_t4,-0.17011405202260838
y3_t1 y3_t5,-0.17011405202260838
y1_t1 y4_t3,-0.16725639319144914
y1_t1 y4_t2,-0.16725639319144914
y1_t0 y4_t3,-0.16725639319144914
y1_t0 y4_t2,-0.16725639319144886
y2_t3 y4_t7,0.1665113572289198
y2_t3 y4_t6,0.1665113572289198
y2_t2 y4_t7,0.1665113572289198
y2_t2 y4_t6,0.1665113572289198
y4_t3 y1_t6,-0.16386360095111244
y4_t2 y1_t7,-0.16386360095111244
y4_t2 y1_t6,-0.16386360095111244
y4_t3 y1_t7,-0.16386360095111244
y2_t5 y2_t7,-0.1634971854095094
y2_t5 y2_t6,-0.1634971854095094
y2_t4 y2_t7,-0.1634971854095094
y2_t4 y2_t6,-0.1634971854095094
y2_t3 y2_t5,0.1599722962318917
y2_t2 y2_t5,0.1599722962318917
y2_t2 y2_t4,0.1599722962318917
y2_t3 y2_t4,0.15997229623189158
y2_t6 y3_t6,-0.15770887923075252
y2_t7 y3_t7,-0.15770887923075252
y2_t6 y3_t7,-0.15770887923075252
y3_t6 y2_t7,-0.15770887923075252
y1_t2 y2_t2,0.1529232922747213
y2_t2 y1_t3,0.1529232922747213
y1_t2 y2_t3,0.1529232922747213
y1_t3 y2_t3,0.1529232922747213
y3_t3 y2_t4,0.14902719498899164
y3_t2 y2_t5,0.14902719498899164
y3_t3 y2_t5,0.14902719498899164
y3_t2 y2_t4,0.14902719498899164
y3_t4^2,-0.143830001380152
y3_t5^2,-0.143830001380152
y3_t4 y3_t5,-0.143830001380152
y4_t3 y3_t4,0.1406876183182702
y4_t2 y3_t5,0.1406876183182702
y4_t2 y3_t4,0.1406876183182702
y4_t3 y3_t5,0.1406876183182702
y3_t5 y2_t7,0.13760684935485487
y3_t4 y2_t7,0.13760684935485487
y3_t4 y2_t6,0.13760684935485454
y3_t5 y2_t6,0.13760684935485454
y2_t1 y2_t2,-0.12935732002325162
y2_t0 y2_t3,-0.1293573200232516
y2_t1 y2_t3,-0.1293573200232516
y2_t0 y2_t2,-0.1293573200232516
y1_t3 y2_t4,0.12469834673559195
y1_t2 y2_t4,0.12469834673559195
y1_t3 y2_t5,0.12469834673559195
y1_t2 y2_t5,0.12469834673559195
y3_t2 y4_t5,0.12281857887804908
y3_t2 y4_t4,0.12281857887804908
y3_t3 y4_t5,0.12281857887804908
y3_t3 y4_t4,0.12281857887804908
y3_t1 y3_t7,0.11982244372277773
y3_t1 y3_t6,0.11982244372277741
y3_t0 y3_t6,0.11982244372277741
y3_t0 y3_t7,0.11982244372277741
y3_t4 y3_t6,0.10582000187306702
y3_t5 y3_t6,0.10582000187306702
y3_t4 y3_t7,0.10582000187306694
y3_t5 y3_t7,0.10582000187306694
y2_t0 y4_t4,-0.10249421066888822
y2_t1 y4_t4,-0.10249421066888822
y2_t0 y4_t5,-0.10249421066888822
y2_t1 y4_t5,-0.10249421066888822
y4_t4 y4_t5,0.09942749998973986
y4_t4^2,0.09942749998973986
y4_t5^2,0.09942749998973986
y1_t3 y1_t5,-0.09894135757083161
y1_t3 y1_t4,-0.09894135757083161
y1_t2 y1_t5,-0.09894135757083161
y1_t2 y1_t4,-0.09894135757083161
y2_t5^2,0.09816401390755772
y2_t4^2,0.09816401390755772
y2_t4 y2_t5,0.09816401390755772
y2_t0 y4_t3,0.09707208885378968
y2_t1 y4_t2,0.09707208885378968
y2_t1 y4_t3,0.09707208885378968
y2_t0 y4_t2,0.09707208885378968
y3_t1 y4_t4,0.09285805185129754
y3_t1 y4_t5,0.09285805185129754
y3_t0 y4_t5,0.09285805185129754
y3_t0 y4_t4,0.09285805185129754
y3_t3 y2_t7,-0.08779025789545347
y3_t2 y2_t6,-0.08779025789545347
y3_t3 y2_t6,-0.08779025789545347
y3_t2 y2_t7,-0.08779025789545324
y4_t3 y2_t7,-0.08704359473820772
y4_t3 y2_t6,-0.08704359473820769
y4_t2 y2_t6,-0.08704359473820769
y4_t2 y2_t7,-0.08704359473820769
y3_t2 y1_t3,0.08427258895214237
y1_t2 y3_t3,0.08427258895214237
y1_t2 y3_t2,0.08427258895214237
y1_t3 y3_t3,0.08427258895214237
y4_t0 y2_t5,-0.07986689690213844
y4_t1 y2_t5,-0.07986689690213844
y4_t1 y2_t4,-0.07986689690213844
y4_t0 y2_t4,-0.0798668969021383
y4_t3 y4_t5,-0.07813226040165815
y4_t3 y4_t4,-0.07813226040165815
y4_t2 y4_t4,-0.07813226040165815
y4_t2 y4_t5,-0.07813226040165815
y2_t3 y2_t6,-0.07542261489478339
y2_t3 y2_t7,-0.07542261489478339
y2_t2 y2_t7,-0.07542261489478339
y2_t2 y2_t6,-0.07542261489478339
y3_t2 y3_t7,0.07460307057431154
y3_t3 y3_t6,0.07460307057431134
y3_t3 y3_t7,0.07460307057431134
y3_t2 y3_t6,0.07460307057431134
y4_t5 y1_t6,-0.07443433706422398
y4_t4 y1_t7,-0.07443433706422398
y4_t4 y1_t6,-0.07443433706422398
y4_t5 y1_t7,-0.07443433706422398
y1_t0 y2_t1,-0.07297244620476018
y1_t0 y2_t0,-0.07297244620476018
y2_t0 y1_t1,-0.07297244620476018
y1_t1 y2_t1,-0.07297244620476018
